a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,fecha,monto,score,fraude
4,0.6812,50084.12,50,0.0000000000000000,20,AR,1,cat_d26ab52,0.36547523568462026,2479,952,1,,Y,2020-03-20 09:28:19,57.63,100,0
4,0.6694,66005.49,0,0.0000000000000000,2,AR,1,cat_ea962fb,0.61272834305894008,2603,105,1,Y,Y,2020-03-09 13:58:28,40.19,25,0
4,0.4718,7059.05,4,0.4634878292764254,92,BR,25,cat_4c2544e,0.65183494793375729,2153,249,1,Y,Y,2020-04-08 12:25:55,5.77,23,0
4,0.7260,10043.10,24,0.0468445707668824,43,BR,43,cat_1b59ee3,0.69272781233387093,4845,141,1,N,Y,2020-03-14 11:46:13,40.89,23,0
4,0.7758,16584.42,2,0.1546162402669632,54,BR,0,cat_9bacaa5,0.20135351287616388,2856,18,1,Y,N,2020-03-23 14:17:13,18.98,71,0
4,0.6695,44318.50,25,0.0000000000000000,82,BR,8,cat_5c068ea,0.019366892731575547,7103,124,1,,Y,2020-04-16 11:55:52,99.76,30,0
4,0.6772,1386.52,50,0.3542009884678747,34,BR,6,cat_ec06c68,0.92037931804487627,1244,357,1,,Y,2020-03-30 22:04:08,7.25,20,0
4,0.7891,43678.99,26,0.0000000000000000,46,BR,12,cat_1d61c62,0.028120103512172534,2163,61,1,,N,2020-03-19 19:15:00,26.13,0,0
4,0.6947,90300.24,32,0.4989969909729187,9,BR,3,cat_cb0afa0,0.46342928805368189,1434,185,1,,Y,2020-03-15 12:40:41,8.58,52,0
4,0.7753,625514.61,40,0.2493055555555555,7,BR,6,cat_4698444,0.42278535649272442,2747,206,1,,N,2020-04-19 22:18:37,28.36,8,0
4,0.8131,13095.62,12,0.2806554906762102,55,BR,0,cat_95a8178,0.4288641577329031,1543,744,1,N,Y,2020-04-04 16:20:09,10.39,65,0
2,0.6077,47595.03,50,0.0000000000000000,94,AR,9,cat_ccd197e,0.76596376715772863,4657,516,1,,Y,2020-04-15 23:25:46,1.23,77,0
4,0.7971,71746.41,50,0.5160000000000000,8,BR,12,cat_3ea5f60,0.61135961070696965,2847,784,1,,Y,2020-03-17 15:50:04,5.28,70,0
4,0.7086,16438.98,50,0.0000000000000000,1169,BR,10,cat_328c921,0.73591332881333216,3029,655,1,Y,Y,2020-03-21 20:43:39,108.69,0,0
4,0.6180,343523.76,50,0.0000000000000000,7,BR,4,cat_33c7ce1,0.46284064106499301,3572,1179,1,,Y,2020-03-28 07:43:36,45.77,0,0
3,0.5307,7197.86,20,0.5595579492201161,36,BR,19,cat_33c7ce1,0.7145537629388734,2744,873,1,,Y,2020-04-15 16:33:36,27.38,1,0
4,0.7788,6251.65,50,0.0000000000000000,29,BR,34,cat_358ae2a,0.96286645655602143,1804,719,1,Y,Y,2020-04-16 15:38:45,23.02,36,0
4,0.7435,30668.98,1,0.0000000000000000,22,BR,16,cat_55ba4d5,0.16548176024348749,3464,0,1,,N,2020-03-24 14:52:33,44.27,50,0
3,0.9017,49511.35,1,0.0300060012002400,0,BR,8,cat_440aeb1,0.28744698548091208,331,0,1,,N,2020-04-15 23:08:51,95.74,86,0
4,0.6071,118754.33,2,0.0000000000000000,0,AR,3,cat_8bcbe6d,0.2812481451526132,7,7,0,N,N,2020-04-21 19:56:11,24.16,8,0
4,0.7642,217906.88,6,0.0597587719298245,22,BR,56,cat_f8d350f,0.41016064195666146,1983,106,1,,N,2020-04-16 22:20:57,34.99,12,0
4,0.8217,35595.53,1,0.2896174863387978,7,BR,17,cat_321e8df,0.22010056651589949,1565,0,1,Y,N,2020-04-15 21:06:23,10.51,7,0
4,0.8521,40579.65,50,0.7562544674767691,51,BR,0,cat_c02cf68,0.69641933938182987,3075,384,1,N,Y,2020-04-16 21:13:40,13.42,78,0
4,0.5938,779205.70,1,0.0000000000000000,1,US,15,cat_0cd53cb,0.48950136871316019,3933,0,1,,N,2020-04-04 10:08:50,80.70,41,0
4,0.3491,702.41,2,0.0793333333333333,1,BR,1,cat_4109cab,0.35348494582660805,182,0,1,N,N,2020-04-14 17:21:00,28.73,53,0
2,0.5290,102.44,12,0.0000000000000000,73,AR,0,cat_85797a2,0.58903203446815766,4956,61,1,,N,2020-03-27 15:31:25,9.44,12,0
4,0.7697,29844.06,2,0.1960526315789473,8,BR,0,cat_9eaf019,0.22477342921067489,4072,75,1,,N,2020-04-20 18:39:07,14.67,20,0
4,0.6886,80370.79,1,1.6611074049366244,0,BR,17,cat_3525ff4,0.96146453141945898,1,1,1,,N,2020-03-31 12:08:13,2.95,72,0
4,0.7609,4740.13,15,0.5933333333333333,1,BR,13,cat_b6fba81,0.49499766970114223,4847,237,1,Y,Y,2020-04-10 15:53:38,2.85,50,0
4,0.7718,288076.46,2,0.0000000000000000,0,BR,20,cat_0ec73df,0.7779610829575816,58,58,0,N,N,2020-03-14 15:31:03,30.11,91,0
4,0.5913,18769.34,1,0.0000000000000000,0,AR,0,cat_43b9c10,0.68850109865371323,961,0,1,Y,N,2020-04-18 23:00:24,160.99,33,0
4,0.8382,4531.98,2,0.1586428631863947,12,UY,10,cat_3a53758,0.32488053558383356,2452,31,1,Y,N,2020-04-02 11:46:55,21.54,82,0
4,0.4041,10649.21,1,0.2639689440993788,0,AR,13,cat_14e40d4,0.134830008184462,49,15,0,,N,2020-03-25 12:15:17,25.48,94,0
4,0.7313,22381.68,,0.3290329032903290,0,BR,16,cat_fbd20de,0.23734504051079597,470,,1,N,N,2020-03-27 10:22:51,19.44,59,0
4,0.7302,319680.98,27,0.0000000000000000,13,AR,1,cat_b7adefa,0.57985167202408761,4673,210,1,,Y,2020-03-28 16:39:35,95.64,46,0
4,0.8112,11019.08,49,0.0497206703910614,8,BR,5,cat_9ff11b9,0.74397331453719318,1773,303,1,,Y,2020-03-08 23:34:50,39.79,97,0
4,0.8459,2220.29,4,0.1077451592754528,5,BR,6,cat_62a4e2c,0.88917664936502661,334,72,1,,N,2020-03-15 20:18:44,13.78,39,0
4,0.8084,158342.43,50,0.1902564102564102,4,BR,2,cat_943c507,0.01079478255336852,1704,322,1,Y,Y,2020-04-20 18:50:06,11.29,19,0
4,,,3,0.3653061224489795,12,BR,5,cat_a4cabc8,0.98529877904339713,2275,18,1,,N,2020-03-13 18:36:32,10.55,57,0
4,0.8140,15626.17,1,0.2785571142284569,3,BR,5,cat_28c9536,0.59235479799684398,1500,14,1,,N,2020-04-21 21:27:24,9.63,-0,0
4,0.7326,213981.83,5,0.4472361809045226,0,BR,56,cat_05f0709,0.58668805132952428,255,7,0,,N,2020-04-20 09:53:10,3.92,91,0
4,0.7755,44310.97,1,0.1366495140080045,3,BR,7,cat_8226450,0.78556754665521566,677,0,1,,N,2020-04-06 15:24:11,34.22,80,0
4,0.9522,256.93,3,0.2762743864065449,40,BR,0,cat_237e2d0,0.40847767696580206,5406,641,1,,Y,2020-03-24 13:23:48,32.12,71,0
4,0.7497,8158.55,1,0.3046411776732774,0,BR,3,cat_9d78e2e,0.47521663252188517,1057,75,0,N,N,2020-04-14 20:01:17,9.32,88,0
4,0.7856,3739.35,50,0.0000000000000000,1,BR,1,cat_04522b5,0.7080189012818856,439,335,1,,Y,2020-03-13 21:25:58,43.28,10,0
4,0.5377,11138.97,1,0.3641581743247070,9,AR,3,cat_7d38576,0.017337171657903383,1773,0,1,Y,N,2020-04-10 11:20:41,26.73,97,0
4,,,50,0.0000000000000000,43,BR,2,cat_580cd7a,0.67462827459590713,1164,919,1,Y,Y,2020-03-13 08:13:36,64.71,16,0
4,0.7896,64954.24,17,0.3657894736842105,0,BR,27,cat_dcbe7e9,0.90937428984488733,232,229,1,,Y,2020-03-30 22:02:52,7.56,61,0
