num_leaves,n_estimators,min_data_in_leaf,learning_rate,class_weight,random_state,umbral,ganancia,ganancia_aprobar_todo,mejora,tp,fp,tn,fn,tasa_aprobacion,recall,precision,fpr,recall_monto,ap,ganancia_std,ap_train
30,350,100,0.05,balanced,88,0.68,173034.07,128268.77250000002,44765.297499999986,778,1432,21689,544,0.9095855664198339,0.5885022692889561,0.35203619909502265,0.06193503741187665,0.7156446502682511,0.4773028412740575,3752.8823674247733,0.5910705659759974
30,350,200,0.1,balanced,88,0.6900000000000001,172682.2825,128268.77250000002,44413.50999999998,710,1083,22038,612,0.9266456654256843,0.5370650529500757,0.39598438371444505,0.0468405345789542,0.6491235819432918,0.46909589939524277,4613.657195242855,0.692394852375308
60,150,50,0.05,balanced,88,0.65,172592.76,128268.77250000002,44323.98749999999,835,1752,21369,487,0.8941619277502761,0.6316187594553706,0.32276768457672983,0.0757752692357597,0.7598880303360522,0.4759596913979491,3394.8758061506473,0.5729239636274723
15,350,100,0.05,balanced,88,0.73,172247.0375,128268.77250000002,43978.264999999985,744,1281,21840,578,0.9171541954751872,0.5627836611195158,0.3674074074074074,0.055404178019981834,0.6937649298541276,0.4764763760953293,3714.2009608180483,0.5208617889361129
30,200,50,0.1,balanced,88,0.65,172027.0075,128268.77250000002,43758.234999999986,804,1622,21499,518,0.9007486806038538,0.6081694402420574,0.3314097279472383,0.07015267505730721,0.7089386658725984,0.4737230068645451,4438.6488484630245,0.6106105767594703
60,200,200,0.1,balanced,88,0.73,171981.5275,128268.77250000002,43712.754999999976,616,718,22403,706,0.9454240477846418,0.4659606656580938,0.4617691154422789,0.031054020154837592,0.6022896402204789,0.4758488195690985,4786.019005859461,0.7340935045301251
15,250,50,0.05,balanced,88,0.72,171911.05000000002,128268.77250000002,43642.2775,779,1431,21690,543,0.9095855664198339,0.5892586989409985,0.35248868778280545,0.061891786687427015,0.7137768731987617,0.47654612666795265,3666.0684235632666,0.5023437567299227
15,150,200,0.1,balanced,88,0.76,171622.58999999997,128268.77250000002,43353.81749999995,697,1047,22074,625,0.9286503293376427,0.527231467473525,0.39965596330275227,0.045283508498767354,0.6601993480610163,0.4794040067674259,3902.7568894118667,0.5091452917915201
60,250,100,0.05,balanced,88,0.68,171589.07499999998,128268.77250000002,43320.30249999996,738,1204,21917,584,0.9205498506729943,0.5582450832072617,0.3800205973223481,0.05207387223735998,0.6712492581196374,0.47661860550377727,4538.930343616797,0.6488302624498189
8,300,200,0.05,balanced,88,0.76,171309.07,128268.77250000002,43040.297499999986,708,1149,21972,614,0.9240273288876161,0.5355521936459909,0.38126009693053314,0.049695082392630076,0.6618953978046267,0.47281842361286125,3924.3614374928547,0.47860633008634346
8,300,100,0.1,balanced,88,0.78,171122.26750000002,128268.77250000002,42853.494999999995,660,943,22178,662,0.9344188520230741,0.49924357034795763,0.4117280099812851,0.040785433156005364,0.6248909601507493,0.47349857217115326,4708.807365556516,0.5065543576123557
30,300,200,0.05,balanced,88,0.77,171012.68999999994,128268.77250000002,42743.91749999992,649,805,22316,673,0.940514666775764,0.4909228441754917,0.44635488308115545,0.034816833181955796,0.6122343114860048,0.4800676755512397,4679.162918474779,0.5675139498159659
15,250,200,0.1,balanced,88,0.72,170978.67,128268.77250000002,42709.89749999999,760,1356,21765,562,0.9134312482101216,0.5748865355521936,0.3591682419659735,0.05864798235370442,0.6950098990999614,0.4770812393104091,3661.986624573906,0.5407885943518599
60,300,20,0.05,balanced,88,0.66,170952.3025,128268.77250000002,42683.52999999997,731,1236,21885,591,0.9195270629628114,0.5529500756429652,0.37163192679206913,0.05345789541974828,0.6514535360692563,0.4728983653289321,4929.049750933393,0.704867825985527
15,350,200,0.1,balanced,88,0.68,170936.27000000002,128268.77250000002,42667.4975,798,1575,21546,524,0.9029169905494415,0.6036308623298033,0.336283185840708,0.0681198910081744,0.7221430320560188,0.47508737009869284,3671.757560646275,0.5723049519460535
30,150,100,0.1,balanced,88,0.71,170932.495,128268.77250000002,42663.722499999974,747,1327,21794,575,0.9151495315632288,0.5650529500756429,0.3601735776277724,0.057393711344665026,0.6877018994615152,0.47680111414985765,4410.22060173569,0.5668587356843235
60,350,200,0.1,balanced,88,0.49,170780.89750000002,128268.77250000002,42512.125,761,1485,21636,561,0.9081127521171706,0.575642965204236,0.3388245770258237,0.06422732580770728,0.6990927862995637,0.4645149525404359,4304.752709049053,0.867690191071774
15,250,100,0.1,balanced,88,0.6900000000000001,170704.15000000002,128268.77250000002,42435.3775,795,1595,21526,527,0.9022214949065172,0.6013615733736762,0.33263598326359833,0.06898490549716708,0.7314717904469833,0.4759668612697319,3501.1572375885203,0.5451989532235594
30,250,200,0.05,balanced,88,0.75,170665.27500000002,128268.77250000002,42396.5025,690,981,22140,632,0.9316368694513767,0.5219364599092284,0.4129263913824057,0.04242896068509148,0.6376544805264551,0.47844300787903665,4568.158842352077,0.5497310327685783
8,250,100,0.1,balanced,88,0.81,170600.04249999998,128268.77250000002,42331.26999999996,605,721,22400,717,0.9457513398519003,0.4576399394856278,0.45625942684766213,0.031183772328186497,0.575367449613274,0.4729425446405776,5275.36382353163,0.4988568070770182
8,300,50,0.1,balanced,88,0.77,170567.585,128268.77250000002,42298.81249999997,686,1023,22098,636,0.9300822321318987,0.518910741301059,0.4014043300175541,0.04424549111197613,0.6350013256616969,0.4732170506643617,4646.836268390315,0.5089116748740428
15,150,100,0.1,balanced,88,0.76,170375.0,128268.77250000002,42106.22749999998,698,1048,22073,624,0.9285685063208281,0.5279878971255674,0.3997709049255441,0.04532675922321699,0.6366834777735391,0.47762264878925415,4672.594028077698,0.5098289808522106
60,200,20,0.05,balanced,88,0.66,169970.9,128268.77250000002,41702.12749999997,779,1466,21655,543,0.9081536636255779,0.5892586989409985,0.3469933184855234,0.06340556204316422,0.6866298426109362,0.4740975881923297,4683.484545358071,0.6243694987733837
60,150,200,0.05,balanced,88,0.66,169946.195,128268.77250000002,41677.422499999986,812,1676,21445,510,0.8982121670826003,0.6142208774583964,0.32636655948553056,0.07248821417758747,0.7289768962106544,0.47495524456349875,3567.4676250408315,0.5646290426451404
60,250,20,0.05,balanced,88,0.61,169937.83749999997,128268.77250000002,41669.064999999944,818,1719,21402,504,0.8962075031706419,0.6187594553706506,0.32242806464327944,0.07434799532892176,0.722596590426126,0.4737155892894425,4267.507100929009,0.6676949067383147
8,200,50,0.1,balanced,88,0.66,169860.28000000003,128268.77250000002,41591.50750000001,877,2102,21019,445,0.8781246164546087,0.6633888048411498,0.29439409197717353,0.09091302279313178,0.7687223993302419,0.4716175582889206,3480.884721465749,0.4914650006560771
60,250,20,0.1,balanced,88,0.54,169447.515,128268.77250000002,41178.74249999999,771,1529,21592,551,0.9059035306631755,0.5832072617246596,0.3352173913043478,0.0661303576834912,0.6754667045601577,0.4601175773199773,4648.231942973095,0.8311707636792688
60,300,50,0.1,balanced,88,0.44,169327.8125,128268.77250000002,41059.03999999998,826,1918,21203,496,0.8877388209303277,0.6248108925869894,0.3010204081632653,0.08295488949439903,0.7162509748542283,0.4617477555650321,4406.590911572556,0.8613314377929792
30,350,200,0.01,balanced,88,0.63,167607.0375,128268.77250000002,39338.264999999985,909,2486,20635,413,0.8611054289571657,0.6875945537065052,0.2677466863033873,0.10752130098179144,0.7808554627981407,0.46359762773040136,3407.007355398643,0.4626942594417208
60,350,20,0.1,balanced,88,0.49,167181.1125,128268.77250000002,38912.33999999997,733,1479,21642,589,0.9095037434030193,0.5544629349470499,0.33137432188065097,0.06396782146100947,0.6409728902452306,0.4489756109705859,4896.305831334435,0.9096438804945293
30,300,20,0.01,balanced,88,0.63,167102.16749999998,128268.77250000002,38833.39499999996,903,2496,20625,419,0.8609417829235364,0.6830559757942511,0.265666372462489,0.10795380822628779,0.7704522774178458,0.45489665922733347,3467.3541768846794,0.44943655577948677
60,350,50,0.01,balanced,88,0.63,166900.91749999998,128268.77250000002,38632.14499999996,896,2391,20730,426,0.8655238718651557,0.6777609682299546,0.27258898691816247,0.10341248215907617,0.766570205610614,0.46480541257828034,3485.6313874296643,0.4889301630308727
30,150,20,0.1,balanced,88,0.67,166552.96750000003,128268.77250000002,38284.19500000001,785,1574,21547,537,0.903489751667144,0.5937972768532527,0.3327681220856295,0.06807664028372475,0.6726362202233812,0.4680327242713336,4909.473568056498,0.5783614219751304
60,300,50,0.01,balanced,88,0.72,166452.72999999998,128268.77250000002,38183.95749999996,740,1327,21794,582,0.91543591212208,0.5597579425113465,0.35800677310111273,0.057393711344665026,0.6138133625621716,0.4557001797247849,5336.197033292181,0.47124406260515633
60,300,20,0.01,balanced,88,0.72,165870.09750000003,128268.77250000002,37601.32500000001,738,1312,21809,584,0.9161314077650043,0.5582450832072617,0.36,0.056744950477920504,0.6094686827641462,0.4542969294691523,5324.512149965068,0.47204107788345095
30,150,100,0.01,balanced,88,0.59,165859.0575,128268.77250000002,37590.284999999974,943,2907,20214,379,0.8424906926318373,0.7133131618759455,0.24493506493506492,0.1257298559750876,0.776590398115438,0.41536998946196313,3494.8283644705575,0.39247785012950437
15,300,200,0.01,balanced,88,0.7000000000000001,165824.3675,128268.77250000002,37555.59499999997,762,1457,21664,560,0.9092173628441681,0.5763993948562783,0.3433979269941415,0.06301630552311752,0.6147003331230014,0.4534011859706224,5203.280280371242,0.4341672562528347
30,150,20,0.01,balanced,88,0.59,165698.975,128268.77250000002,37430.202499999985,944,2907,20214,378,0.84244978112343,0.7140695915279879,0.24513113477018955,0.1257298559750876,0.7770989006111403,0.41511627521836975,3491.8156639415092,0.39262031778411255
30,150,50,0.01,balanced,88,0.61,164917.1225,128268.77250000002,36648.34999999998,902,2642,20479,420,0.8550096142044757,0.6822995461422088,0.25451467268623024,0.11426841399593443,0.7253075982231285,0.41543702608501193,4148.628772720922,0.3927174384978589
30,250,50,0.01,balanced,88,0.6900000000000001,164877.64250000002,128268.77250000002,36608.869999999995,780,1628,21493,542,0.9014850877551855,0.5900151285930408,0.3239202657807309,0.07041217940400502,0.6273641999375791,0.4450984912289888,5326.565305351904,0.4349485332685896
8,350,100,0.01,balanced,88,0.59,164819.755,128268.77250000002,36550.982499999984,953,2951,20170,369,0.8402814711778424,0.7208774583963692,0.24410860655737704,0.1276328878508715,0.7713576704207868,0.4516192819548505,3646.2972071764,0.43034639021539195
8,350,50,0.01,balanced,88,0.59,164819.755,128268.77250000002,36550.982499999984,953,2951,20170,369,0.8402814711778424,0.7208774583963692,0.24410860655737704,0.1276328878508715,0.7713576704207868,0.4516192819548505,3646.2972071764,0.43034639021539195
15,250,200,0.01,balanced,88,0.67,163782.705,128268.77250000002,35513.932499999966,783,1696,21425,539,0.8985803706582661,0.5922844175491679,0.31585316659943524,0.07335322866658016,0.6192815958618239,0.44038752547678317,5160.294810603098,0.41747639938210135
8,300,100,0.01,balanced,88,0.62,163343.8275,128268.77250000002,35075.05499999999,895,2556,20565,427,0.858814384486356,0.6770045385779122,0.25934511735728777,0.11054885169326586,0.6971191071213295,0.44282718018801925,4673.977828637746,0.41683327425387273
8,300,20,0.01,balanced,88,0.62,163343.8275,128268.77250000002,35075.05499999999,895,2556,20565,427,0.858814384486356,0.6770045385779122,0.25934511735728777,0.11054885169326586,0.6971191071213295,0.44282718018801925,4673.977828637746,0.41683327425387273
15,200,200,0.01,balanced,88,0.67,162954.27749999997,128268.77250000002,34685.50499999995,769,1629,21492,553,0.9018942028392587,0.5816944024205749,0.32068390325271057,0.07045543012845465,0.5926383274921981,0.4237124525191465,5354.056952771744,0.3957473834505199
